page,total_words,unique_words,top_5_words,average_word_length,total_sentences
1,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
2,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
3,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
4,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
5,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
6,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
7,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
8,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
9,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
10,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
11,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
12,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
13,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
14,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
15,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
16,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
17,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
18,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
19,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
20,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
21,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
22,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
23,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
24,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
25,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
26,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
27,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
28,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
29,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
30,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
31,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
32,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
33,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
34,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
35,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
36,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
37,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
38,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
39,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
40,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
41,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
42,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
43,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
44,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
45,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
46,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
47,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
48,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
49,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
50,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
51,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
52,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
53,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
54,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
55,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
56,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
57,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
58,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
59,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
60,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
61,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
62,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
63,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
64,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
65,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
66,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
67,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
68,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
69,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
70,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
71,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
72,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
73,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
74,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
75,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
76,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
77,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
78,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
79,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
80,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
81,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
82,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
83,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
84,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
85,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
86,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
87,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
88,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
89,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
90,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
91,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
92,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
93,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
94,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
95,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
96,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
97,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
98,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
99,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
100,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
